r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.2000,110.0000, 30.0000,     31.265591,     32.902079,      0.036276
  0.2000,110.0000, 40.0000,     41.373037,     42.539319,      0.036276
  0.2000,110.0000, 50.0000,     51.374758,     52.176559,      0.036276
  0.2000,110.0000, 70.0000,     71.134494,     71.451039,      0.036276
  0.2000,110.0000, 90.0000,     90.653609,     90.725520,      0.036276
  0.2000,110.0000,110.0000,    109.999984,    110.000000,      0.036276
  0.2000,110.0000,130.0000,    129.218160,    129.274480,      0.036276
  0.2000,110.0000,150.0000,    148.338578,    148.548961,      0.036276
  0.2000,110.0000,170.0000,    167.382746,    167.823441,      0.036276
  0.2000,130.0000, 20.0000,     21.088976,     23.990359,      0.036276
  0.2000,130.0000, 30.0000,     31.386850,     33.627599,      0.036276
  0.2000,130.0000, 40.0000,     41.561074,     43.264839,      0.036276
  0.2000,130.0000, 50.0000,     51.633298,     52.902079,      0.036276
  0.2000,130.0000, 70.0000,     71.535712,     72.176559,      0.036276
  0.2000,130.0000, 90.0000,     91.191757,     91.451039,      0.036276
  0.2000,130.0000,110.0000,    110.665328,    110.725520,      0.036276
  0.2000,130.0000,130.0000,    129.999981,    130.000000,      0.036276
  0.2000,130.0000,150.0000,    149.226433,    149.274480,      0.036276
  0.2000,130.0000,170.0000,    168.366965,    168.548961,      0.036276
  0.2000,150.0000, 20.0000,     21.136823,     24.715878,      0.036276
  0.2000,150.0000, 30.0000,     31.481478,     34.353118,      0.036276
  0.2000,150.0000, 40.0000,     41.710110,     43.990359,      0.036276
  0.2000,150.0000, 50.0000,     51.841036,     53.627599,      0.036276
  0.2000,150.0000, 70.0000,     71.865599,     72.902079,      0.036276
  0.2000,150.0000, 90.0000,     91.642548,     92.176559,      0.036276
  0.2000,150.0000,110.0000,    111.231306,    111.451039,      0.036276
  0.2000,150.0000,130.0000,    130.673689,    130.725520,      0.036276
  0.2000,150.0000,150.0000,    149.999978,    150.000000,      0.036276
  0.2000,150.0000,170.0000,    169.232641,    169.274480,      0.036276
